id,taxid,fasta_dna,fasta_aa
GCF_000904315.1,1513253,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000904315.1/GCF_000904315.1_ViralProj193979_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000904315.1/GCF_000904315.1_ViralProj193979_protein.faa
GCF_030286045.1,3052086,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_030286045.1/GCF_030286045.1_ASM3028604v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_030286045.1/GCF_030286045.1_ASM3028604v1_protein.faa
GCF_055385145.1,406,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_055385145.1/GCF_055385145.1_ASM5538514v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_055385145.1/GCF_055385145.1_ASM5538514v1_protein.faa
GCF_018570625.1,3429035,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_018570625.1/GCF_018570625.1_ASM1857062v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_018570625.1/GCF_018570625.1_ASM1857062v1_protein.faa
GCF_023156675.1,3052139,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_023156675.1/GCF_023156675.1_NODE_13_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_023156675.1/GCF_023156675.1_NODE_13_protein.faa
GCF_047727585.1,3230983,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_047727585.1/GCF_047727585.1_ASM4772758v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_047727585.1/GCF_047727585.1_ASM4772758v1_protein.faa
GCF_000910655.1,3047752,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000910655.1/GCF_000910655.1_ViralProj214178_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000910655.1/GCF_000910655.1_ViralProj214178_protein.faa
GCF_002956185.1,3060011,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_002956185.1/GCF_002956185.1_ASM295618v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_002956185.1/GCF_002956185.1_ASM295618v1_protein.faa
GCF_001885215.1,1916956,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_001885215.1/GCF_001885215.1_ASM188521v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_001885215.1/GCF_001885215.1_ASM188521v1_protein.faa
GCF_003627055.1,2419771,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_003627055.1/GCF_003627055.1_ASM362705v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_003627055.1/GCF_003627055.1_ASM362705v1_protein.faa
GCF_000921895.1,3429279,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000921895.1/GCF_000921895.1_ViralProj253223_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000921895.1/GCF_000921895.1_ViralProj253223_protein.faa
GCF_036237395.1,2903809,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_036237395.1/GCF_036237395.1_ASM3623739v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_036237395.1/GCF_036237395.1_ASM3623739v1_protein.faa
GCF_020546665.1,2817656,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_020546665.1/GCF_020546665.1_ASM2054666v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_020546665.1/GCF_020546665.1_ASM2054666v1_protein.faa
